Country_ID,zlene,COUNTRY
NEB,-0.21,NP
NEB,-1.99,NP
NEB,-1.23,NP
NEB,-0.37,NP
NEB,0.47,NP
NEB,-1.07,NP
NEB,0.16,NP
NEB,-1.25,NP
NEB,0.63,NP
NEB,-1.08,NP
NEB,-0.73,NP
NEB,0.21,NP
NEB,-1.48,NP
NEB,-0.48,NP
NEB,-1.03,NP
NEB,0.64,NP
NEB,1.07,NP
NEB,-2.05,NP
NEB,-0.23,NP
NEB,-1.13,NP
NEB,-0.58,NP
NEB,-1.32,NP
NEB,0.48,NP
NEB,-0.93,NP
NEB,-1.36,NP
NEB,-1.02,NP
NEB,-0.65,NP
NEB,-0.41,NP
NEB,0.74,NP
NEB,-0.3,NP
NEB,0.73,NP
NEB,0.29,NP
NEB,-1.15,NP
NEB,0.89,NP
NEB,-1.91,NP
NEB,-0.99,NP
NEB,-0.19,NP
NEB,0.44,NP
NEB,0.83,NP
NEB,0.34,NP
NEB,-0.32,NP
NEB,0.54,NP
NEB,-0.79,NP
NEB,-1.84,NP
NEB,0.56,NP
NEB,-1.53,NP
NEB,1.18,NP
NEB,-0.74,NP
NEB,-1.5,NP
NEB,-0.7,NP
NEB,0.56,NP
NEB,-1.04,NP
NEB,-0.31,NP
NEB,-1,NP
NEB,0.09,NP
NEB,0.44,NP
NEB,0.29,NP
NEB,-1.1,NP
NEB,0.82,NP
NEB,-1.29,NP
NEB,-0.08,NP
NEB,0.9,NP
NEB,1.3,NP
NEB,-2.9,NP
NEB,-1.48,NP
NEB,1.08,NP
NEB,0.78,NP
NEB,0.55,NP
NEB,-2.64,NP
NEB,-0.39,NP
NEB,-2.25,NP
NEB,-1.46,NP
NEB,-0.89,NP
NEB,-0.06,NP
NEB,0.15,NP
NEB,-1.44,NP
NEB,-0.35,NP
NEB,0.24,NP
NEB,-0.3,NP
NEB,-1.32,NP
NEB,-0.06,NP
NEB,0.79,NP
NEB,-1.3,NP
NEB,-2.25,NP
NEB,-1.3,NP
NEB,-3.12,NP
NEB,-2.11,NP
NEB,-0.87,NP
NEB,-1.12,NP
NEB,0.02,NP
PEL,0.3,PE
PEL,-0.41,PE
PEL,-1.51,PE
PEL,-1.03,PE
PEL,-0.35,PE
PEL,-0.01,PE
PEL,-1.73,PE
PEL,-1.62,PE
PEL,0.43,PE
PEL,-1.17,PE
PEL,-1.18,PE
PEL,-1.33,PE
PEL,-1.08,PE
PEL,-1.6,PE
PEL,-1.01,PE
PEL,-0.43,PE
PEL,0.23,PE
PEL,0.09,PE
PEL,-1.76,PE
PEL,-1.27,PE
PEL,-0.43,PE
PEL,-0.71,PE
PEL,-0.26,PE
PEL,-0.77,PE
PEL,-0.84,PE
PEL,-2.14,PE
PEL,-3.21,PE
PEL,1.8,PE
PEL,-0.09,PE
PEL,0.31,PE
PEL,-1.71,PE
PEL,-0.99,PE
PEL,-2.84,PE
PEL,-1.59,PE
PEL,-1.15,PE
PEL,-1.91,PE
PEL,-2.36,PE
PEL,-0.44,PE
PEL,-1.33,PE
PEL,1.97,PE
PEL,-1.48,PE
PEL,-0.22,PE
PEL,0.03,PE
PEL,0.18,PE
PEL,-3.26,PE
PEL,-1.3,PE
PEL,-1.08,PE
PEL,-2.53,PE
PEL,0.11,PE
PEL,-1.06,PE
PEL,-1.51,PE
PEL,-1.06,PE
PEL,-2.4,PE
PEL,0.45,PE
PEL,-0.62,PE
PEL,-1.99,PE
PEL,-0.79,PE
PEL,-0.77,PE
PEL,-0.41,PE
PEL,-0.23,PE
PEL,0.62,PE
PEL,0.31,PE
PEL,-1.2,PE
PEL,-1.6,PE
PEL,-0.55,PE
PEL,-1.89,PE
PEL,-1.33,PE
PEL,-0.65,PE
PEL,-0.47,PE
PEL,-0.49,PE
PEL,-0.95,PE
PEL,-0.16,PE
PEL,-0.9,PE
PEL,0.63,PE
PEL,-0.81,PE
PEL,-1.71,PE
PEL,-0.12,PE
PEL,0.28,PE
PEL,-1.96,PE
PEL,-2.27,PE
PEL,-0.51,PE
PEL,0.13,PE
PEL,-1.19,PE
PEL,-1.8,PE
PEL,-1.33,PE
PEL,-2.04,PE
PEL,-0.15,PE
PEL,-0.15,PE
PEL,-0.81,PE
PEL,-0.87,PE
PEL,-1.54,PE
