"ReturnCode","LL","tvE0","tvAlpha","tvBeta","tvGam","dE0dTRT1","dE0dTRT2","dE0dTRT5","dE0dTRT6","dE0dTRT7","dE0dTRT17","dAlphadTRT1","dAlphadTRT2","dAlphadTRT5","dAlphadTRT6","dAlphadTRT7","dAlphadTRT17","dBetadTRT1","dBetadTRT2","dBetadTRT5","dBetadTRT6","dBetadTRT7","dBetadTRT17","dGamdTRT1","dGamdTRT2","dGamdTRT5","dGamdTRT6","dGamdTRT7","dGamdTRT17","dE0dBLMEANTTP","dAlphadBLMEANTTP","dGamdBLMEANTTP","dBetadBLMEANTTP","EEps","omega(nE0,nE0)","omega(nAlpha,nE0)","omega(nAlpha,nAlpha)","omega(nBeta,nE0)","omega(nBeta,nAlpha)","omega(nBeta,nBeta)","omega(nGam,nE0)","omega(nGam,nAlpha)","omega(nGam,nBeta)","omega(nGam,nGam)"
3,-17352.7,2.57818,22.5203,1.67168,0.0473448,-0.166644,-0.135135,-0.222732,-0.288985,-0.040158,0.411924,-0.0134257,-0.310951,-0.1328,0.200256,0.00991202,0.0457814,-0.0123524,-0.104541,-0.0393087,0.0226215,0.0181984,0.214652,-0.107694,0.0244522,0.662747,0.0350713,0.0288454,0.0553865,0.875565,0.163991,-0.60159,-0.399862,0.271308,0.335426,-0.0409098,0.126046,0.142867,0.0433914,0.0914973,0.198456,-0.140299,0.0277221,0.476565
3,-17000,2.48892,21.6545,1.63443,0.0533598,-0.154959,-0.135093,-0.229209,-0.302478,-0.0406685,0.368901,-0.0131258,-0.293823,-0.156226,0.197327,0.00990228,0.0449908,-0.0124866,-0.106252,-0.0394935,0.0229374,0.0182232,0.227256,-0.0976644,0.0246045,0.560052,0.0346368,0.0289432,0.0542577,0.788902,0.150562,-0.476594,-0.418897,0.274822,0.315234,-0.0332861,0.106896,0.127278,0.0283208,0.0682606,0.17998,-0.133936,0.0264653,0.460622
3,-16580.9,2.73263,21.5437,1.68571,0.0519565,-0.164877,-0.133194,-0.224611,-0.281492,-0.041322,0.487078,-0.0135059,-0.246314,-0.159751,0.199547,0.00974052,0.0466876,-0.0123796,-0.105508,-0.0394134,0.0224558,0.0183727,0.202351,-0.106503,0.0249093,0.480594,0.0344862,0.0284773,0.0545556,0.862583,0.141664,-0.491698,-0.394981,0.277592,0.282157,-0.0652414,0.103187,0.119165,0.0101721,0.0664825,0.22231,-0.124698,0.0625518,0.458428
3,-16942.4,2.51228,22.9236,1.71566,0.0487183,-0.13318,-0.116223,-0.171794,-0.293708,-0.0398151,0.307271,-0.0126951,-0.28521,-0.167733,0.170824,0.0104443,0.0503132,-0.0121083,-0.116563,-0.0398991,0.0238183,0.0174735,0.232217,-0.0723396,0.0233384,0.67064,0.0330597,0.0299318,0.0561373,1.11673,0.14452,-0.651813,-0.298655,0.255394,0.259601,-0.136353,0.132757,0.050431,0.00443738,0.02548,0.249925,-0.152072,0.037278,0.482415
3,-16505.6,2.84753,21.9222,1.74275,0.0506803,-0.141269,-0.125694,-0.18704,-0.284266,-0.0404711,0.351108,-0.0131413,-0.269584,-0.145528,0.212984,0.00992951,0.0446402,-0.012313,-0.1007,-0.0398651,0.021967,0.0176052,0.22522,-0.103793,0.0232305,0.549264,0.033228,0.026467,0.0487321,0.970817,0.158423,-0.665792,-0.314028,0.254379,0.343682,-0.0971148,0.146584,0.115017,0.0242569,0.06556,0.18864,-0.153654,0.0160283,0.459435
3,-17046,3.04374,22.6698,1.78637,0.047059,-0.156977,-0.128341,-0.188473,-0.304175,-0.0389222,0.35104,-0.0128942,-0.232323,-0.136802,0.147478,0.0102247,0.0463831,-0.0119161,-0.102505,-0.0386338,0.0240092,0.0186231,0.22967,-0.097433,0.0251604,0.529205,0.0339297,0.0298274,0.0555175,0.907538,0.156484,-0.672816,-0.311768,0.261288,0.326256,-0.107386,0.137185,0.109077,0.00945145,0.0566666,0.192236,-0.144702,0.0279055,0.461396
3,-16608.1,1.20419,23.6992,1.51865,0.0486733,-0.1416,0.00121839,-0.124957,-0.107245,-0.0537058,0.14091,-0.0147306,-0.335591,-0.192805,0.076577,0.00939796,0.0634184,-0.0133137,-0.175717,-0.0433763,0.0217583,0.0229407,0.0934809,0.00199275,0.0179983,0.565239,0.029689,0.0332625,0.0387563,1.39434,0.196572,-0.751338,-0.382486,0.25455,0.43575,-0.163408,0.105448,-0.021519,0.0393627,0.0232817,0.334564,-0.108555,-0.0028936,0.420006
3,-16712.8,1.06129,23.0229,1.46281,0.0495667,-0.0490236,0.0506704,-0.0623518,-0.260319,-0.0411311,0.0256651,-0.0128572,-0.289626,-0.184954,0.130596,0.0113794,0.0630853,-0.0113571,-0.124813,-0.0381877,0.0297704,0.0131048,0.114088,-0.0315978,0.0213863,0.628216,0.0303517,0.0390449,0.0367785,1.71996,0.0813675,-0.502542,-0.379671,0.269598,0.313001,-0.152197,0.0968546,-0.041306,0.0357668,0.0162322,0.334526,-0.120351,-0.0161385,0.494319
3,-16797.3,3.13269,22.1404,1.83678,0.049786,-0.171502,-0.130493,-0.206645,-0.264874,-0.0413864,0.375154,-0.0140806,-0.250945,-0.15854,0.244019,0.0100654,0.0442206,-0.0128758,-0.108139,-0.0417534,0.02152,0.0163539,0.224058,-0.102764,0.0231766,0.545053,0.0345229,0.030686,0.0509001,0.959823,0.151085,-0.594482,-0.318551,0.262747,0.267372,-0.0846617,0.112105,0.101022,0.00569153,0.0548146,0.171402,-0.104505,0.0424667,0.374706
3,-16951.8,3.16629,21.3315,1.76589,0.0523256,-0.155797,-0.137738,-0.21035,-0.293229,-0.0402309,0.448991,-0.0132748,-0.241344,-0.160129,0.22341,0.00984212,0.0484394,-0.0123931,-0.0989083,-0.0392616,0.023143,0.0182774,0.220336,-0.103312,0.0248322,0.408821,0.0350031,0.0286869,0.0576952,0.818859,0.131585,-0.594127,-0.400328,0.274716,0.304822,-0.095619,0.12361,0.117197,0.00770443,0.0661819,0.182922,-0.131316,0.0351223,0.4414
