agemonths,haz,waz,hcaz
14,-3.951863719,-3.069941667,-2.947413634
15,-3.56050871,-2.971294515,-2.816843377
16.1,-3.601630598,-2.876022371,-2.818690333
17,-3.42493143,-2.52551299,-2.798063671
18,-3.388015184,-2.887195095,-2.858574823
19,-3.459893783,-2.579989033,-2.831208439
20.1,-3.414935054,-2.530659566,-2.810413077
21,-3.443928377,-2.50425653,-2.834694647
22,-3.31324609,-2.19127405,-2.802377136
23,-3.314356049,-2.468797949,-2.898751988
24,-2.860322905,-2.599354149,-2.640753591
0.0328515,-1.241714015,-1.746041333,-1.755513635
1,-1.296931601,-1.886517061,-1.719602541
2,-2.000122991,-1.549562004,-1.817628249
2.9,-1.196389653,-2.531169156,-1.972638013
4,-0.973232298,-1.450860977,-1.887460878
6,-2.051524558,-1.469820051,-2.078271336
6.9,-1.983352906,-1.577410472,-2.651975086
8,-2.458384866,-2.282118533,-3.454641043
8.9,-2.800373826,-2.645013937,-2.917258949
9.9,-2.142523786,-2.352064246,-2.528754409
11,-2.356390246,-2.28890594,-2.642974881
11.9,-2.498741674,-2.348555016,-2.189856024
12.9,-2.380262627,-2.9236079,-2.683951889
14.1,-2.325915905,-2.733761796,-2.587293494
14.9,-2.565957243,-2.777588703,-2.578004583
17.1,-2.648897246,-2.820831427,-1.722644256
16.5,-2.645707078,-2.691081093,-1.647577399
18,-2.871848454,-2.875017162,-1.8451525
19,-3.155822342,-2.932312163,-1.964290825
20,-3.223036273,-2.938605157,-2.438401274
21,-3.093346604,-2.984251123,-2.406960101
22.1,-3.064851974,-2.895962839,-2.518073304
22.9,-3.015711217,-3.059428681,-2.246433833
24,-3.193707965,-3.607110868,-2.350203221
0.2299606,0.408954062,-0.374224934,-0.045375988
1,0.635532349,-0.587179901,-0.668313564
2,0.501178876,-0.648614336,-1.247508128
3,1.151385301,-0.488078824,-1.467413035
3.9,-0.059614319,-0.602556518,-1.949978209
5,0.893558721,-0.90837029,-2.530517308
5.9,-0.349698103,-0.652850481,-1.797860543
7.1,-0.208225319,-0.456053626,-2.250748992
8,-0.329936644,-0.419861076,-2.140343498
9,0.247898387,-0.687670137,-2.479360742
10,-0.188731825,-0.590635876,-2.397199965
10.9,-0.554171809,0.262000575,-2.339753554
11.9,-0.437362443,-0.582255205,-2.263474528
13,-0.453134303,-1.029516429,-2.544039358
13.9,-0.858653717,-1.062599642,-2.272849762
14.9,-0.517931166,-1.542419986,-2.432214582
16,-0.884550794,-1.231728193,-2.514596159
17,-1.131685789,-1.114600798,-2.503730244
18.1,-1.299597243,-1.367678186,-2.645279621
19,-1.48019564,-1.137927859,-2.679343883
20,-1.497286796,-1.349604962,-2.798962177
21.1,-1.384413047,-1.132735809,-2.70174989
22,-1.094166735,-1.386547727,-2.510640489
23,-1.117319853,-1.304881527,-2.543074541
24,-0.814999427,-1.282047986,-2.28239376
0.2299606,0.149656948,-0.195799958,-0.133838628
1.1,-0.018874631,0.022626509,-0.505102644
1.9,-0.36079157,-0.295780476,-0.87986627
3,-0.34309349,-0.492037665,-1.269912891
3.9,-1.243590371,-0.548402688,-1.457990892
5,-0.582937067,-0.48349807,-1.263290665
6,0.378333303,-0.697501285,-2.307796224
7,-0.282377846,-0.740056683,-2.156746206
7.9,-0.900875798,-0.370637091,-1.597801294
9,-0.745046956,-0.542814889,-1.592382106
9.9,-0.517491333,-0.095849553,-1.481465157
10.9,-0.612766912,0.048908984,-1.589172689
12,-0.731964294,-0.187780277,-1.606346498
12.9,-0.956895041,-0.163679822,-1.715940179
13.9,-0.999446616,0.036002046,-1.745699455
15,-0.840615741,0.237721585,-1.379107539
15.9,-0.636368854,0.504278165,-1.215473767
17,-1.010033223,0.227800673,-1.363082012
17.9,-1.001371574,0.507852633,-1.478474271
19,-0.980681782,0.520547867,-1.522857579
20.1,-1.088932848,0.390710061,-1.64588672
21,-0.741044419,0.510047325,-1.51744268
22,-0.657815902,0.392817753,-1.615483687
23,-0.823577728,0.067692803,-1.640678422
24,-0.91723218,0.030064355,-1.652614989
0.4927727,-3.918277722,-5.152002133,-3.308822502
1.1,-3.968185924,-4.748274169,-2.903012789
2,-2.816406543,-3.991166243,-3.22677488
3,-2.838140971,-3.34819515,-2.792996049
4,-2.322447771,-3.152976564,-2.602588448
4.9,-2.403267385,-2.852124681,-2.898110744
6,-2.612803198,-2.869755761,-3.326876825
7.3,-2.911914835,-2.810494164,-3.018374725
8,-2.055465445,-2.971657515,-2.655034643
9,-3.107586664,-3.071033893,-3.980119558
9.9,-3.234671437,-3.355700186,-3.061273375
11,-2.825033019,-3.807526148,-3.580101401
12,-3.116133293,-3.424045731,-2.533460171
13,-3.213188094,-3.634268266,-3.121462332
14.1,-3.353770967,-3.857367113,-2.613239379
15,-3.529573798,-3.49984616,-2.680080191
16,-3.602875277,-3.439453463,-2.518312028
17,-3.556914714,-3.653633235,-2.27631135
18,-3.69348643,-3.464648879,-2.315874483
19.1,-3.922034634,-3.60900515,-2.288229434
20,-4.060618443,-3.469621517,-2.314763818
21,-4.109283977,-3.341940622,-2.25797952
22,-4.313658889,-3.591411914,-2.358738764
23,-3.993494434,-3.290606059,-2.304562327
23.9,-4.020428928,-3.750956128,-2.384428313
0.1971091,-0.298266638,-0.400723318,0.037144073
1,0.188143675,-0.980666266,-0.355041679
1.9,-0.088699785,-1.508531023,-0.508434976
3,-1.177333886,-1.513944182,-0.90333334
3.9,-1.018420241,-2.088199934,-1.024341388
5,-1.542189434,-2.110158179,-1.364021929
6,-2.073845696,-2.137049082,-1.37062725
7.2,-1.28140485,-2.339355523,-1.471115283
8,-1.824780519,-2.254098298,-1.423163135
9.2,-2.1907278,-2.339571523,-1.130366108
10,-2.483227297,-2.495818056,-1.348464152
