"pandemicday","estimate","sevalue","class","severity","ymin","ymax"
642.5,-0.147909793373244,0.07581530547434,"cort","moderate",0.743409834515571,1.0006884422241
649.5,-0.147914473297073,0.0758116888590732,"cort","moderate",0.743411625125947,1.00067666570172
656.5,-0.14768753273554,0.0757609286996188,"cort","moderate",0.743654336947274,1.00080421071988
663.5,-0.147677659190385,0.0757489460474879,"cort","moderate",0.743679145330147,1.0007905874123
670.5,-0.147749218337394,0.0757577693841242,"cort","moderate",0.743613070226745,1.00073628057706
678,-0.156226857552098,0.0763596239968566,"cort","moderate",0.736466359284792,0.993459488351926
685,-0.154024365601238,0.0761259293912369,"cort","moderate",0.738428361444141,0.995194041758231
695,-0.154616023975809,0.0761644856487701,"cort","moderate",0.737935825228695,0.994680566456975
705.5,-0.143316964938839,0.0757487816996356,"cort","moderate",0.746929424368217,1.00516393457878
719.5,-0.143166344525783,0.0757161656033777,"cort","moderate",0.747089693745886,1.00525107889679
733.5,-0.143144953403185,0.07570510707553,"cort","moderate",0.747121868481805,1.00525079381569
744,-0.143130546943829,0.0756989665835991,"cort","moderate",0.7471416240076,1.00525317736382
754.5,-0.142344921129806,0.075595713569655,"cort","moderate",0.747880165998516,1.0058396622027
773.5,-0.142338372346481,0.07559102298324,"cort","moderate",0.747891939469579,1.00583700199563
791,-0.142119961265301,0.0755430644061647,"cort","moderate",0.748125624810706,1.00596214824512
800.5,-0.142377197668455,0.075577331671634,"cort","moderate",0.747882972036306,1.00577096061182
809,-0.142465233023137,0.0755693909747388,"cort","moderate",0.747828773733053,1.00566676902195
164,0.048790164,1.95127816754443,"cort","severecrit",0.0229206954663469,48.100634696933
173,0.048790164,1.61385518006369,"cort","severecrit",0.0444066525338202,24.8273611433948
178,0.889558840320682,0.748253612064726,"cort","severecrit",0.561570340971149,10.5501061340135
182.5,0.819516780720083,0.705222102348059,"cort","severecrit",0.569658318064909,9.04084009837374
186.5,0.142793361378808,0.66637778186738,"cort","severecrit",0.312451165917408,4.25840132420275
187.5,0.138007126552188,0.663804169739776,"cort","severecrit",0.312531802764377,4.21674413908489
191,0.150002641722079,0.65375938201271,"cort","severecrit",0.322592375848214,4.18443224502496
199.5,0.172669182365219,0.631892938106374,"cort","severecrit",0.344438068672089,4.10078878197366
210,-0.264923001254842,0.530833636385165,"cort","severecrit",0.271075763091871,2.17170142262687
217.5,-0.500351610620493,0.144428930664189,"cort","severecrit",0.456835314708357,0.80471193806361
223.5,-0.5004376962787,0.143299130938568,"cort","severecrit",0.457808642679654,0.802862831530099
227.5,-0.50039925722111,0.142573208287434,"cort","severecrit",0.458478103397866,0.801752141822772
232,-0.501456373979874,0.141961683990582,"cort","severecrit",0.458542969279059,0.799945664210021
239,-0.499506057976132,0.140312942959053,"cort","severecrit",0.460925236385358,0.798921416972781
245.5,-0.498200942875451,0.139712461468396,"cort","severecrit",0.462070700901871,0.799023822395084
252.5,-0.498338138355591,0.137037024899553,"cort","severecrit",0.464436374161084,0.794735781762587
259.5,-0.508523172688796,0.134166905607049,"cort","severecrit",0.462323550304836,0.782269445986501
266,-0.463876801331706,0.122357181506655,"cort","severecrit",0.4947528781743,0.799269794041825
273.5,-0.464002146567879,0.121999278287953,"cort","severecrit",0.495038009737843,0.798609202504119
280.5,-0.465126976066211,0.121604514681271,"cort","severecrit",0.494864235949576,0.797094428495597
286.5,-0.421440281950055,0.0986807380385984,"cort","severecrit",0.540719548869019,0.796103532696177
293.5,-0.421546961466964,0.0986198632569983,"cort","severecrit",0.540726380933435,0.795923638331976
300.5,-0.436499471664363,0.0981156535189239,"cort","severecrit",0.533228014059417,0.783336599640213
307.5,-0.446472160303742,0.0966855857322281,"cort","severecrit",0.529418572127872,0.77339264309871
314.5,-0.442412671568955,0.0946107862692386,"cort","severecrit",0.533738205206807,0.77338713794499
321.5,-0.442167494724859,0.0945079263749313,"cort","severecrit",0.53397672323491,0.773420836279109
328.5,-0.44216728710497,0.094305410092346,"cort","severecrit",0.53418882861674,0.773114062300256
335.5,-0.441576496964116,0.0940564572537712,"cort","severecrit",0.534765389170364,0.773193575431527
342.5,-0.441877249853435,0.0938237655623466,"cort","severecrit",0.534848456892779,0.772608621799558
349.5,-0.441461641586529,0.0937538540940634,"cort","severecrit",0.535144114421016,0.772823886474688
356.5,-0.421044390591157,0.093002645534363,"cort","severecrit",0.546987364840673,0.787604510498374
363.5,-0.411419904405431,0.0920908925634077,"cort","severecrit",0.553265074177273,0.793801574624535
370.5,-0.411155346119475,0.0919687083207567,"cort","severecrit",0.553544011866048,0.793821481171453
377.5,-0.419994892866716,0.0911325947469873,"cort","severecrit",0.549572388516565,0.785546985399458
384.5,-0.420049127798312,0.0910938734620128,"cort","severecrit",0.549584291716747,0.78544476988135
394.5,-0.394435061763135,0.0909348164237781,"cort","severecrit",0.564019021519865,0.805571897943992
404.5,-0.394039778723828,0.0908695959103912,"cort","severecrit",0.564314145654036,0.805787377633021
415,-0.394033857268799,0.0908267881202938,"cort","severecrit",0.564364837292851,0.805724543321966
423.5,-0.393515659205822,0.0907655463233347,"cort","severecrit",0.564725147951893,0.80604541781871
427,-0.393507987676516,0.0907543162829477,"cort","severecrit",0.564741910603181,0.806033859734334
433,-0.395578285795741,0.0905163631306827,"cort","severecrit",0.563836841457513,0.803991795819687
440.5,-0.395274303192699,0.0904814578606793,"cort","severecrit",0.564046851668713,0.80418121308868
447,-0.395402773627024,0.0905153133418085,"cort","severecrit",0.563936970716961,0.804131263976329
453.5,-0.382629895301135,0.089471309268428,"cort","severecrit",0.572356253043988,0.812803310559758
464,-0.381900671417628,0.0893308380956864,"cort","severecrit",0.572931500903092,0.813172326037094
474.5,-0.384287927249503,0.0896504627999394,"cort","severecrit",0.571207444851905,0.811741759023971
485,-0.384173382582365,0.0895906954810392,"cort","severecrit",0.571339802444353,0.811739649084294
495.5,-0.384173263125212,0.0895825959089082,"cort","severecrit",0.571348940879626,0.811726859655229
506,-0.384388403281438,0.0895994677109142,"cort","severecrit",0.571207144592538,0.811579080843311
516.5,-0.384381112813318,0.0895673675838363,"cort","severecrit",0.571247248578765,0.811533937378717
523.5,-0.384381133718567,0.0895597915041153,"cort","severecrit",0.571255719216305,0.81152186994134
531.5,-0.38387051224308,0.0894609563986622,"cort","severecrit",0.571658218219348,0.811779085765052
549,-0.383332207968565,0.0893324780974951,"cort","severecrit",0.572110076296097,0.812011683077511
562.5,-0.383313181610105,0.08932247709604,"cort","severecrit",0.572132176374792,0.812011215680154
